District Name,Public District Name,"Charter (1=Yes, 0=No)",City,County,State,State Abbreviation,2009 Total PK-12 Enrollment,2009 FRL Percentage,2009 Percent Minority,2004 State Math Percentile,2005 State Math Percentile,2006 State Math Percentile*,2007 State Math Percentile,2004 State Reading Percentile,2005 State Reading Percentile,2006 State Reading Percentile*,2007 State Reading Percentile,2004 National Math Percentile,2005 National Math Percentile,2006 National Math Percentile*,2007 National Math Percentile,2008 National Math Percentile**,2009 National Math Percentile**,2004 National Reading Percentile,2005 National Reading Percentile,2006 National Reading Percentile*,2007 National Reading Percentile,2008 National Reading Percentile**,2009 National Reading Percentile**
ALEUTIAN REGION SCHOOL DISTRICT,Aleutian Region ,0,ANCHORAGE,ANCHORAGE,Alaska,AK,39,0.0000,0.6154,,,,,,,,,,,,,,,,,,,,
HYDABURG CITY SCHOOL DISTRICT,Hydaburg ,0,HYDABURG,PRINCE OF WALES-OUTER KETCHIKA,Alaska,AK,69,0.6957,0.9565,0.5562,,,,0.4151,0.3148,,,0.5593,,,,,,0.3676,0.2766,,,,
LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,Lake and Penin ,0,KING SALMON,BRISTOL BAY,Alaska,AK,421,0.6603,0.8694,0.2497,,,,0.2080,0.2310,,,0.2522,,,,,,0.1743,0.1987,,,,
PELICAN CITY SCHOOL DISTRICT,Pelican ,0,PELICAN,SKAGWAY-HOONAH-ANGOON,Alaska,AK,15,0.0000,0.8667,,,,,,,,,,,,,,,,,,,,
SOUTHEAST ISLAND SCHOOL DISTRICT,Southeast Island ,0,THORNE BAY,PRINCE OF WALES-OUTER KETCHIKA,Alaska,AK,173,0.6185,0.1850,0.2793,0.3874,,,0.3463,,,,0.2820,0.3846,,,,,0.3018,,,,,
TANANA CITY SCHOOL DISTRICT,Tanana ,0,TANANA,YUKON-KOYUKUK,Alaska,AK,38,0.0000,0.9211,0.2414,,,,0.3844,,,,0.2439,,,,,,0.3381,,,,,
YUKON FLATS SCHOOL DISTRICT,Yukon Flats ,0,FORT YUKON,YUKON-KOYUKUK,Alaska,AK,274,0.0000,0.9453,0.1764,0.1808,,,0.1720,0.1899,,,0.1785,0.1789,,,,,0.1423,0.1614,,,,
ALYESKA CENTRAL,Alyeska Central ,0,JUNEAU,JUNEAU,Alaska,AK,,,,0.4390,,,,0.5664,,,,0.4421,,,,,,0.5174,,,,,
ALABAMA YOUTH SERVICES,Alabama Youth Svcs,0,MOUNT MEIGS,MONTGOMERY,Alabama,AL,,,,,,,,,,,,,,,,,,,,,,,
AL INST DEAF AND BLIND,Alabama Inst Deaf,0,TALLADEGA,TALLADEGA,Alabama,AL,,,,0.1260,,,,0.0544,,,,0.0607,,,,,,0.0321,,,,,
ALABAMA SCHOOL OF FINE ARTS,School of Fine Arts,0,BIRMINGHAM,JEFFERSON,Alabama,AL,,,,,,,,0.9216,,,,,,,,,,0.8786,,,,,
EUDORA SCHOOL DISTRICT,Eudora,0,EUDORA,CHICOT,Arkansas,AR,,,,0.1090,0.1206,,,0.1853,0.1176,,,0.0804,0.1001,,,,,0.1687,0.1095,,,,
KINGSLAND SCHOOL DISTRICT,Kingsland,0,KINGSLAND,CLEVELAND,Arkansas,AR,,,,0.4211,,,,0.4439,,,,0.3559,,,,,,0.4187,,,,,
ARK. SCHOOL FOR THE DEAF,School for Deaf,0,LITTLE ROCK,PULASKI,Arkansas,AR,128,0.8125,0.4453,,0.1207,,,,0.0868,,,,0.1003,,,,,,0.0803,,,,
FOCUS LEARNING ACADEMY,Focus Learning,0,CONWAY,FAULKNER,Arkansas,AR,,,,0.3659,0.0617,,,0.3716,0.1265,,,0.3039,0.0496,,,,,0.3477,0.1180,,,,
ARISE CHARTER SCHOOL,Arise Charter,0,MONTICELLO,DREW,Arkansas,AR,,,,,0.2376,,,,0.1251,,,,0.2053,,,,,,0.1166,,,,
ACORN SCHOOL DISTRICT,Acorn,0,MENA,POLK,Arkansas,AR,,,,0.5934,,,,0.5790,,,,0.5264,,,,,,0.5538,,,,,
ALREAD SCHOOL DISTRICT,Alread,0,CLINTON,VAN BUREN,Arkansas,AR,,,,0.4492,,,,0.5400,,,,0.3829,,,,,,0.5145,,,,,
ALTHEIMER UNIFIED SCHOOL DISTRICT,Altheimer Unified,0,ALTHEIMER,JEFFERSON,Arkansas,AR,,,,0.1194,0.1963,,,0.1696,0.2283,,,0.0888,0.1677,,,,,0.1539,0.2158,,,,
